# ELektron2 C++ Simulation Results
# Date: 2026-03-07 20:46:22
# Integrator: CAPD Taylor (order 20)
# CAPD order: 20  stepDivisor: 10  minStep: 0.0001  maxStep: 50
# Cores: 24
# Total time: 87214 ms
# Total simulations: 10
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=0 isPos=9 isNeg=1 is120L=0 is120R=0 isRenorm=0
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge apexMass v2 u2 |q-r|2 minZdot2 maxZdot2 minXdot2 maxXdot2 minR maxR isNaN isPos isNeg elapsedMs dxZERO_reduced psi0
#
0 1989.5495828692892 -5.4966003518150029e-18 14664.361332762803 1990.1860471073376 -9.6520958285848432e-17 14665.199654742446 0.018771818604765449 -1.8041704927698099e-22 0.13759930666490186 -0.79646438429686828 2.0914753570117174e-17 0.60468544275724012 5000 5000.0000012712308 82.273717623445648 4252 1 1 0.019285950368391924 1.0000000001359091 1.1078704678675195 1 1 1 0 4 0 0 1 0 65854 -441.61662502222146 1.11803355457825
1 -11524.726990284969 2.5803389350960294e-15 14665.276484283302 -11525.598267106034 2.6285079708739859e-15 14665.363490690248 -0.057566703609275918 1.282576518094559e-20 0.12638047698107635 -0.099366586082886676 7.1084864258869728e-17 -0.99505089390174495 5000 4999.9999902248655 128.16208106919447 4625 1 1 0.019285950326402592 0.99999999988442945 0.7666934137736906 1 1 1 0 4 0 0 1 0 68316 19.058367670756216 5.1669874250277799
2 -15298.777647087896 1.3363630167817496e-15 14666.255372035603 -15299.479715046711 1.3411169146179382e-15 14666.886893180228 -0.073407944723549751 6.3493328360904405e-21 0.11788648778414426 -0.6687657732792307 8.9036648210435411e-17 -0.74347316082755355 5000 4999.9999965951201 136.20925865606256 4901 1 1 0.019285950350616931 1.0000000003806808 0.89171837490352479 1 1 1 0 4 0 0 1 0 71565 76.662016503676384 6.2708235889359072
3 -2915.6102794821463 8.5845319104574966e-17 14665.716289032982 -2915.41449382772 1.1469589575083424e-17 14666.73056382717 -0.025186048357420436 6.3169992954803387e-22 0.13657090951112968 -0.98187465093949822 5.5345622555525153e-17 0.18953144847187423 5000 4999.9999981583242 101.24405432678846 4274 1 1 0.019285950356559493 1.0000000001174081 1.0670853806046028 1 1 1 0 4 0 0 1 0 65718 407.84895452398911 2.7492814945497797
4 30502.263554841546 -6.6871887492456774e-14 14667.242987153139 30503.281105604823 -6.6946823138297533e-14 14667.46498447629 0.11068650477774684 -2.4274054030047638e-19 0.083871616338658708 -0.21315447041266516 -3.824670649383298e-17 0.97701851141744078 5000 5000.0000009505793 25.680924692565323 6569 1 1 0.019285950367173336 0.99999999990925559 1.084692367333048 1 1 1 0 4 0 0 1 0 87192 105.13859516839919 1.8592779093937808
5 -38630.662276122603 -3.3380886861082961e-13 -14664.632098261831 -38630.901995086482 -3.3386793390903563e-13 -14663.522297544419 -0.13563578076801122 -1.1719346573579076e-18 -0.01664471006858035 -0.97745743388728701 5.984948848227839e-17 -0.21113257589733053 5000 4839.1165793960545 200.78732279979067 6615 1 1 0.018674111397815104 0.99999999966656206 1.2891228140103901 1 1 1 0 4 0 0 0 1 84928 70.705215925544152 0.41592669938759541
6 21995.003345226465 -2.1427026956832747e-14 14664.382697349683 21995.226484030372 -2.1370165367673272e-14 14663.282069675482 0.11289957654781277 -1.1007419191697228e-19 0.080868015864083487 0.98006128421624716 -5.9684618327058546e-17 0.19869544221925273 5000 5000.0000028699496 33.6919559104482 5973 1 1 0.019285950374469094 0.99999999957830399 1.2611722030261312 1 1 1 0 4 0 0 1 0 82165 -401.62132533545264 0.73348151406602791
7 -1493.5928725640665 1.7538047017021522e-16 14664.534958872631 -1494.4485780252592 2.2079181279917836e-16 14664.64769504307 -0.0087399764650074076 1.0031482566981005e-21 0.13859856844230559 -0.13061776767863273 7.7292858678852041e-17 -0.99143280090621477 5000 4999.9999998172934 95.815560135151458 4270 1 1 0.019285950362865349 0.99999999994609134 0.7449412804400608 1 1 1 0 4 0 0 1 0 65172 -213.92878188367348 2.6174273775535286
8 6260.141623290976 3.5574983854533373e-15 14667.465569945185 6260.7426204159874 3.4694991950451491e-15 14668.28237673351 0.053452642624365061 3.0213671411258727e-20 0.12817474543158019 -0.80546088452407516 2.3209458406446248e-17 0.59264893749269376 5000 5000.0000016885542 66.886988105886132 4473 1 1 0.019285950369978478 0.99999999960952446 1.0283708737262256 1 1 1 0 4 0 0 1 0 67787 -396.69290809203028 2.5653426852480385
9 12941.871230864886 -1.3856064172686735e-15 14668.301421365111 12941.075992413504 -1.3075812903588349e-15 14667.833019870006 0.075036484577776189 -8.1112133176835054e-21 0.1168566487344654 0.50751443083978853 3.5070565414167634e-17 -0.86164325734822889 5000 5000.0000020206662 48.577976471458051 4812 1 1 0.019285950371241079 1.0000000004443006 0.85180415517469155 1 1 1 0 4 0 0 1 0 70713 -279.56651915463283 1.3840129536056414
