# ELektron2 C++ Simulation Results
# Date: 2026-03-07 13:30:53
# Integrator: Boost.Odeint DormandPrince5(4)
# Boost absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13
# Cores: 24
# Total time: 10405 ms
# Total simulations: 1000
# startEnergy: 5000 eV
# startPos: -1000 (reduced)
# detectionDistance: 1000 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# maxTime: 1000000 (reduced)
# Summary: isNaN=0 isPos=999 isNeg=1 is120L=0 is120R=0 isRenorm=0
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge apexMass v2 u2 |q-r|2 minZdot2 maxZdot2 minXdot2 maxXdot2 minR maxR isNaN isPos isNeg elapsedMs dxZERO_reduced psi0
#
0 73.701182988931308 9.9782762036070916e-18 1000.0009408067411 74.836888426688432 -6.4736935339430099e-17 1000.0846963988927 -0.0060133500129460381 2.0436748590369223e-22 0.13874367644629451 -0.073547905005896946 -4.8884019688877501e-17 0.99729168539291901 5000 5000.0046744638566 85.78485823060926 880220 1 1 0.019285968132212256 1.0000000000846054 1.2968418405677558 0.99999999988308519 1.0000000001177405 0.019285950369502727 0.019837785409087118 0.85927024472335312 1.1410115831011127 0 1 0 246 117.07181097180926 2.848611552880282
1 -310.8897475063294 8.5968638227047348e-18 1000.0013451422124 -310.06127451562753 -8.642392483975229e-17 1000.7175327889868 0.00089765265234832551 1.2868842269189761e-23 0.13887098746033552 -0.65397976919248713 1.9026071470678149e-18 0.75651203652972054 5000 5000.0017296914302 107.26991187058552 881461 1 1 0.019285956938492933 0.99999999992740396 1.1992922417147729 0.99999999985458654 1.0000000001432809 0.019285950368053112 0.019349128917640845 0.86091298982511 1.1391191567374583 0 1 0 242 -317.20824001287997 2.5837262210710312
2 -394.00512302048429 8.5453131947336842e-18 1000.0013302534851 -394.56816084340244 -5.6869621755521341e-19 1000.7062360899165 0.00050664488283685136 5.7586456690873168e-24 0.13887295488146831 -0.7813481006997437 9.5055378639320687e-17 -0.6240954618350173 5000 5000.0010320346555 111.50466832999277 881017 1 1 0.019285954286547637 0.99999999995016031 0.81390382827146979 0.99999999987852473 1.0000000001223235 0.019285950367341032 0.019319096127156953 0.86101429604084445 1.1390025875477612 0 1 0 249 -397.51191062901216 3.758706505433663
3 -474.24870380400279 8.5242835517383528e-18 1000.0021957490879 -473.51771850256728 1.3132250749056396e-17 999.20382102819951 0.00030264051458313827 2.8575653976812855e-24 0.13887354343192926 0.73754892322913568 -7.831310621475333e-17 0.67529370333531624 5000 5000.0006032439405 115.37253742014931 881235 1 1 0.01928595265662101 0.99999999992078348 1.1717417058684456 0.99999999987289245 1.0000000001298825 0.019285950366641453 0.019304528013591268 0.86106342535531721 1.1389460392075303 0 1 0 243 -476.28798476341683 2.5344593197823464
4 -464.04354574567219 8.5261382355295514e-18 1000.0006324395259 -464.56501300542766 8.6461501348522248e-17 999.25665012661841 0.00032258989056463156 3.1134508195935512e-24 0.13887349914613348 0.8188803284637739 -6.043321685336033e-18 -0.57396429122106618 5000 5000.0006486787606 114.8933392424089 881198 1 1 0.019285952829328629 0.99999999994183919 0.82543778491609898 0.99999999989565591 1.0000000001048928 0.019285950366736651 0.019305907520529696 0.8610587556574314 1.1389513286933348 0 1 0 244 -466.2263501207164 3.7163518098753454
5 108.14577043428064 2.5459716286451383e-17 1000.0010936762917 108.05590182087097 9.2183693815981696e-17 999.01574427638604 0.021369902108512411 2.3031498883955962e-21 0.13721973984844793 0.99586660988796871 -4.5490163428009623e-17 -0.090827833596008725 5000 4999.9945692774681 83.827698648333239 884218 1 1 0.019285929720203134 1.0000000000454998 0.97898980757061627 0.99999999987811961 1.0000000001218956 0.019285929720203134 0.021697803844855468 0.85326144157527606 1.1479657824098723 0 1 0 241 -46.883587456435073 3.2054853700623633
6 505.60173435227443 8.5178488639096534e-18 1000.0006130742819 506.63237393000026 -2.6901876013425374e-17 999.55278037968174 -0.00024878974620433971 1.9700794236799526e-24 0.13887364871922037 0.39852292963473085 -7.2537744798818544e-17 0.91715836933369743 5000 5000.0004844152127 63.178774130026177 881286 1 1 0.019285952204927233 0.99999999988349564 1.2627720615276927 0.99999999985354959 1.0000000001463534 0.019285950366392364 0.01930086376363915 0.86107576252449147 1.1389317329468809 0 1 0 241 507.53130255250551 2.4280243129413321
7 244.26915422248314 8.66880656970279e-18 1000.0008513034321 243.44498804845102 4.2565924929196037e-17 1000.2688939235064 -0.0014666035544613517 2.2842063410456909e-23 0.13886615501369071 -0.30928290739752307 8.621418442436313e-17 -0.95097007485111285 5000 5000.0025178019987 76.27322042481147 880759 1 1 0.019285959934272335 1.000000000070596 0.75109672859503596 0.99999999993184985 1.0000000000717795 0.019285950368591185 0.019396108846690536 0.86075378410739101 1.1393022152535823 0 1 0 241 254.95516512079436 3.4040007308367879
8 -322.87698725340545 8.586159719451265e-18 1000.0002408514816 -321.90879403981705 -1.6420746441734358e-17 999.44596502494846 0.00082424680701769838 1.1392207616063861e-23 0.13887144093733472 0.49682974272904062 -7.5453235547449138e-17 0.86784803204033911 5000 5000.0016119180391 107.89407008320566 881586 1 1 0.019285956490810524 0.99999999997649414 1.2446197907176491 0.99999999988015742 1.0000000001198697 0.019285950367949493 0.019343323432469004 0.86093255407628688 1.1390963315361093 0 1 0 239 -328.66769911984869 4.548518078265066
9 502.91447773958765 8.5181600396222116e-18 1000.0002552418006 504.03541263387433 -4.8591571701323131e-17 999.81380775894706 -0.00025290771122485768 2.0130389100260496e-24 0.13887364140749384 0.16407788989550209 -6.2466359572263184e-17 0.98644738635914775 5000 5000.0004936649757 63.301520671539564 881234 1 1 0.019285952240087584 1.0000000000073541 1.2912577010918931 0.99999999992049959 1.0000000000784901 0.019285950366411786 0.019301140690543391 0.86107507980406384 1.138932617959761 0 1 0 243 504.87367557323006 2.0326399674290188
