# ELektron2 C++ Simulation Results
# Date: 2026-03-07 19:37:05
# Integrator: CAPD Taylor (order 20)
# CAPD order: 20  stepDivisor: 10  minStep: 0.0001  maxStep: 50
# Cores: 24
# Total time: 30 ms
# Total simulations: 10
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=10 isPos=0 isNeg=0 is120L=0 is120R=0 isRenorm=0
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge apexMass v2 u2 |q-r|2 minZdot2 maxZdot2 minXdot2 maxXdot2 minR maxR isNaN isPos isNeg elapsedMs dxZERO_reduced psi0
#
0 -99550651.553572506 5.1023666392482115e-09 -224736933.52804953 1.3604903345548202e+28 -311241790179.77368 -8.4393622434145778e+27 -65260096.457886264 7.6604650527100547e-08 15259406183.737656 1.2266762052523386e+29 -15790940867980.004 1.3390776232443095e+29 5000 510999489000 246.10832189995972 2 1 1 2.3285373596048071e+20 3.2978633936059066e+58 2.5631623011728019e+56 1 1 1 0 4 0 1 0 1 4 -58.618454240302142 1.9381781620710257
1 39337023.534110576 -2.6944486670000686e-09 -66921710.315947995 -3.8990824590061757e+27 503635453417.13812 -4.2839909577591815e+27 -92955889.120001793 -8.688437197368598e-09 -5441892130.9732714 5.8313600593679953e+28 -2175021110390.3857 -2.2571949677293184e+28 5000 510999489000 300.44729370476148 2 1 1 2.9622830762470904e+19 3.9099689264334863e+57 3.3555422548292075e+55 1 1 1 0 4 0 1 0 1 18 63.699106064125303 0.83556595356637764
2 197342441.87428308 -2.6705047454778814e-09 733940641.08590531 -1.8188672665298435e+28 317494443123.00537 1.2877591094577395e+28 -1704036728.744312 -9.9193003586636191e-08 -17496991644.452362 -1.5461546297177046e+29 22183157666142.062 -2.0565075616512052e+29 5000 510999489000 74.950217653647627 2 1 1 3.0904845777894539e+20 6.6198174901260776e+58 4.9666016572451352e+56 1 1 1 0 4 0 1 1 0 7 -492.39203111184435 1.6285373003080765
3 -101549.32952544378 7.5180039613145714e-13 -675092.64110260294 2.8623020623026239e+24 -456335597.96057558 4.5457449004561933e+24 621357.18277714169 2.2767033701412006e-11 7542892.2026450317 -3.8857093091883163e+25 3119027959.0754533 -1.196343995769204e+25 5000 510999489000 261.44554391821453 2 1 1 57281307529311.961 1.6529975791725767e+51 2.8856569795885339e+49 1 1 1 0 4 0 1 0 1 21 -259.84915823855027 5.7943446019047906
4 -28377.897577230571 4.2161670652643242e-12 319810.46033954236 4.7942995023527655e+23 204676203.12451455 -3.7850106837761507e+24 161365.20351875469 2.9589528820787311e-11 5104486.5075213108 2.0608683665932923e+25 -77484296.832050681 -1.9155834290457976e+25 5000 510999489000 95.070773711560648 2 1 1 26081821234373.758 7.9166382980597605e+50 1.4556158953482203e+49 1 1 1 0 4 0 1 1 0 10 -245.03702713557735 3.6999866422374157
5 1054100.2110808913 -6.9471558034620017e-11 -713601.79919049283 -1.9966310374544712e+25 -4896270229.2135668 9.8960172284052546e+25 8056537.425097499 -6.9328321744007368e-10 -103548934.4553041 -7.6901446956731802e+26 20405071983.102341 4.3155173527325818e+26 5000 510999489000 325.902895905268 2 1 1 10787289622110862 7.7762015462126369e+53 1.0191769248462014e+52 1 1 1 0 4 0 1 0 1 20 123.55419747057579 3.1543120171772419
6 -30927429.155491728 -7.1753491814626825e-09 -1981051834.1211019 3.5463358195194492e+27 1038917628597.9574 -2.0314377463736216e+28 -1207996543.2822165 8.6304406681036255e-08 2442987568.7209363 2.2915571306375636e+29 -17886348869868.312 6.2340545714594821e+28 5000 510999489000 269.10559269951773 2 1 1 7.427443909506816e+18 5.6398684469752125e+58 4.2525042948396051e+56 1 1 1 0 4 0 1 0 1 10 -48.887415519459537 1.3932788387382344
7 -168645493.3208307 -1.4137407530669958e-09 -1373394079.1620252 1.4270257006969411e+28 -83008311358.649536 -1.2789486657753284e+28 197896335.27333409 9.6939507134951676e-08 13270476951.254574 1.2482597845424297e+29 -18821688279232.043 1.8078656904852137e+29 5000 510999489000 262.99942854835592 2 1 1 1.7614472147329352e+20 4.8265308445394913e+58 3.6721120401380883e+56 1 1 1 0 4 0 1 0 1 18 -281.90298229196361 1.326344818804104
8 -27977.46910627382 1.9180784525280968e-12 28344.379545576281 -5.6753423977560378e+23 -74818373.412777022 1.7720717500826791e+24 145862.41724541769 -3.7490445286250408e-12 1600855.1015769071 -4.6622478579723287e+24 1058781802.3897216 -1.2506597427924765e+25 5000 510999489000 134.62675013780409 2 1 1 2584012901009.4858 1.7815153431334193e+50 3.4623334007587618e+48 1 1 1 0 4 0 1 1 0 4 20.371993928201103 5.6228109525155174
9 -29674.751887544633 6.4646478519105638e-13 -112993.87948392179 -8.7484362275136469e+23 116313296.03775726 -1.0147674236487291e+24 -44645.922797472173 9.2262595217695221e-12 672831.36976928927 -5.3685654066585811e+23 610334132.74238288 -9.339273938408109e+24 5000 510999489000 255.28512206608758 2 1 1 454695310568.05591 8.7510252641884627e+49 1.7951042883674112e+48 1 1 1 0 4 0 1 0 1 4 -415.60678045986037 3.8707336755572501
