# ELektron2 ROCm/HIP Simulation Results
# Date: 2026-03-11 22:52:43
# Integrator: DP853 (ROCm/HIP, GPU: AMD Instinct MI300X VF)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Kernel time: 1002277 ms
# Total time: 1002334 ms
# Total simulations: 100000
# Detected: 3565
# Detected ratio: 3.5649999999999999%
# Detector: 100mm x 100mm at 1m
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=15 isPos=3208 isNeg=106 xyEscape=96671
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge exitCode dxZERO_reduced psi0 xDet_mm yDet_mm
#
0 823.49468051062422 -3.6910122143313826e-18 7068.851149653281 824.27655925117824 -4.1593261455912676e-18 7068.0860175597736 0.0062385690602594001 -1.648212035108301e-22 0.1387436140058268 0.69941125401560011 -7.8114978433145542e-17 0.71471945358275801 5000 5000.7260341630472 83.355207944198128 888242 63.404421696632376 5 -5.1292820296045703e-11 3.4546933100071469 44.96472940367115 -1.1879552417014892e-18
1 -517.85273278668728 4.9960442789739529e-17 14663.996754720614 -516.74013745715888 -3.210382297996949e-17 14664.22234872771 -5.3342741024209644e-05 7.9148147203032786e-23 0.13887350803937634 -0.19871990186168095 -3.9883142686175366e-17 0.98005632547476573 5000 4999.9746704973941 92.022535287450665 1197908 65.888977982005997 0 6.0591913487113926e-11 0.48540332763693966 -0.38411027255885832 5.6992977509138053e-19
2 -575.02663839782065 -6.0737091247037587e-18 14663.995867110021 -574.4692831046051 1.5265078218949067e-17 14663.099799099336 -0.0031601172986927798 5.9935714564368872e-23 0.13883785034113943 0.84914081412388687 -7.6262718771257801e-17 0.52816652492012905 5000 4999.9959658003263 92.245617636177158 1197948 21.190514671502296 0 -8.91327906905832e-11 2.3047041882721997 -22.761208783685674 4.3169578336959565e-19
3 -351.78218684409177 4.2384249497652695e-17 14664.004377296382 -350.9621483165991 -5.2796083688922856e-17 14664.73141420524 -0.0018384108945018011 4.5180070789242731e-22 0.13886145462668678 -0.66340182964921868 2.7416389703382517e-18 0.74826333108349463 5000 4999.9823667273968 91.374233731283539 1197445 39.61477545363185 0 -8.3337050519858393e-12 1.9003010098240665 -13.23917353051039 3.2536077711921002e-18
4 -602.25586613025519 -4.0366750015674042e-16 14663.994424139344 -601.16229565946765 -4.5242820415291087e-16 14663.702612599996 -0.0024776462262078255 -1.4003607272084851e-21 0.13885151149664529 0.25782163708351635 -6.7201418724435228e-17 0.96619252920134513 5000 4999.981745891846 92.351837857058101 1197661 27.254560558038794 0 7.6591173446036326e-11 3.5794252021483057 -17.84385491739992 -1.0085311366900881e-17
5 -406.421002846276 3.121803762316055e-16 14664.001638311649 -405.72826594982769 3.2083164180130849e-16 14663.1795649702 -0.0022799225428399386 2.2426897400838716e-21 0.13885502989300069 0.76469821726215015 -7.8242931108678138e-17 0.64438857497613633 5000 4999.9913211560097 91.587578141256444 1195663 47.536412687478474 0 5.1689167654281455e-11 3.8508188318791583 -16.41944511910593 1.6151303570436372e-17
6 760.12899065914155 -9.175560594977883e-18 14664.008104450766 761.03360600166491 -2.4774446487118548e-17 14663.365730336935 0.0050341399400124351 -1.8675640903294702e-22 0.13878226350937112 0.57898017475407082 -7.7035887410045209e-17 0.81534162005792821 5000 4999.9760250920608 87.032650477804268 1198446 67.187892516503467 0 -8.552512401965017e-11 1.7764372121062084 36.273654952115052 -1.345679226656629e-18
7 -700.93730451133172 4.9450511960731426e-17 14664.020830768859 -700.0008046517712 -4.513755467434659e-17 14664.623719255935 -0.005142327262731455 3.1935699217930316e-22 0.13877845860491136 -0.54129929996330595 -1.0565082594781312e-17 0.84082998672467446 5000 4999.9878299178508 92.736643985159759 1198494 67.295436314915563 0 9.1239806680915568e-11 1.61873736299408 -37.054218027966108 2.3012000233298538e-18
8 545.10926164151385 4.116276612137999e-17 14663.999684232134 546.22111738513172 -4.107056076631953e-17 14664.229031280131 -0.000628002354589322 -1.5287239128348465e-22 0.13887176137243898 -0.20202097893896695 -3.9695234031334551e-17 0.97938119465929951 5000 4999.9500502394103 87.871107036415353 1197897 39.02662374839052 0 -8.2395263121979333e-12 3.408424229262021 -4.5221746191084016 -1.1008169679183192e-18
9 -300.04194606787377 9.5555669182006733e-18 14664.016624605849 -299.99265096813178 -5.4378301086808677e-17 14664.99957370952 0.0034318590149439022 3.5511317711488114e-22 0.13883112794154298 -0.99874484468593161 6.6838892654002025e-17 0.050087259652282605 5000 4999.976159811873 91.172171252079053 1197464 22.325395670338942 0 -2.8883446816737794e-11 3.0331967767895436 24.719665292850895 2.557878642781085e-18
10 -823.49489896036573 5.3407839659224805e-17 9982.3847754634444 -823.33110314624867 -1.8202327409585202e-17 9983.3816374440721 -0.0068174325087900353 3.7676044056096463e-22 0.13871660491257895 -0.98676820926533593 5.8544566556484297e-17 0.16213729200127086 5000 5000.7427902269383 94.715925671644584 1007483 65.486882201388411 5 7.2349984053338549e-11 2.0776044518770296 -49.146477547417426 2.7160442745726374e-18
11 588.93071726848473 -8.0630876939178361e-18 14664.017720611046 588.97086263342862 5.0578871629663988e-17 14663.030479922001 0.0017907342086753251 -1.207697234058037e-22 0.13886205583466429 0.99917423462167121 -5.4979182421141262e-17 0.0406306324435666 5000 4999.9807735481536 87.700144627172918 1198012 67.278778017659974 0 -7.5950884748042447e-11 2.3319682720643051 12.895777740806729 -8.6971003475274642e-19
