# ELektron2 Java Simulation Results
# Date: 2026-03-11 17:12:20
# Integrator: DormandPrince853 (commons-math3)
# DP853 minStep: 1.0E-10  maxStep: 10.0  absTol: 1.0E-12  relTol: 1.0E-12
# Java: 25.0.2  OS: Windows 11 amd64
# Cores: 24
# Total time: 34267 ms
# Total simulations: 100
# Detected: 5
# Detected ratio: 5.0%
# Detector: 100.0mm x 100.0mm at 1.0m
# startEnergy: 5000.0 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1.0E-12 m
# rangeMax: 1.0E-10 m
# spin: 1
# Z: 6.0
# atomCount: 30
# atomSpacing: 735.4478411741759 (reduced) = 1.42E-10 m
# chainHalfLength: 10663.993697025551 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm
#
0 -631.5864518372957 5.4467402569689106E-17 14663.993697025551 -631.6602481137668 1.1873647492302636E-16 14663.027611666821 -0.0016215141220315454 1.674492828402229E-22 0.13886439806336495 0.9970952262993783 -4.78365235702115E-17 -0.07616502535946806 5000.0 4999.999998418612 92.46623716897108 1198060 15956 335.4161421475872 3.422042018539128 -11.676960723162717 1.2058474682892762E-18
1 -824.9324136622355 8.97825512692736E-17 14663.993697025551 -825.7850703299013 1.339012185627835E-16 14664.124317905374 -0.0021948030898848755 2.5262918930949495E-22 0.13885652017564926 -0.15142628590070212 7.885287865339128E-17 -0.9884685535550586 5000.0 4999.999997983248 93.21981727218194 1198157 10002 97.04022233425057 1.8956366140361733 -15.80626597230376 1.819354172133413E-18
2 391.74350169501173 -8.776119617986221E-18 14663.993697025551 391.7340505133771 -6.881117513673426E-17 14664.971114751905 0.001982956366006657 -5.005302524918396E-22 0.13885970709203038 -0.9999532521379203 7.049531511047757E-17 -0.009669089379144076 5000.0 5000.000001597896 88.46972710659398 1197304 8364 -489.73120864371367 2.9013543861065694 14.280286251017632 -3.604575171400219E-18
3 644.9918473901914 -7.168758140428715E-18 14663.993697025551 645.6530730292023 4.925589886438857E-18 14663.144628307897 0.004323954456955036 -1.829730953274244E-22 0.13880653366155002 0.7889743174551974 -7.748685647483469E-17 0.614426176201427 5000.0 5000.000001505082 87.48148375417067 1198284 8152 -472.78493398819603 4.882204753021695 31.150943279788777 -1.3181879159490077E-18
4 -572.80952168032 5.2659848661443126E-17 14663.993697025551 -571.8851790683428 -4.1888181158287335E-17 14664.607406805006 -7.286885618683881E-4 1.1825736870598357E-22 0.13887195314586878 -0.5531276666037274 -9.130825915045004E-18 0.833096504147101 5000.0 4999.999998423832 92.23696840468628 1197960 7324 313.8076502482646 2.438325373053621 -5.247197474806059 8.515568912735604E-19
