# ELektron2 ROCm/HIP Simulation Results
# Date: 2026-03-11 22:16:35
# Integrator: DP853 (ROCm/HIP, GPU: AMD Instinct MI300X VF)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Kernel time: 1035618 ms
# Total time: 1035691 ms
# Total simulations: 100000
# Detected: 3620
# Detected ratio: 3.6200000000000001%
# Detector: 100mm x 100mm at 1m
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=14 isPos=3171 isNeg=105 xyEscape=96710
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge exitCode dxZERO_reduced psi0 xDet_mm yDet_mm
#
0 -732.01700924188094 5.6541184941240265e-17 14664.020400575422 -731.07413693916385 -3.7807233693096483e-17 14664.612868307506 -0.0032868526351793126 2.469499065758343e-22 0.13883448702307827 -0.5320461112620859 -1.1397180922705592e-17 0.84671537966270582 5000 4999.9652278911608 92.857790535366249 1198286 66.539061994558111 0 7.238989833052324e-11 3.5599574678568007 -23.674612163424086 1.7787360465759793e-18
1 -497.24969710599026 3.3948294272231042e-18 14664.013331779277 -496.70649950302374 2.6199913555429938e-17 14663.108104685056 -0.00049788448656407102 1.817351551695269e-22 0.13887278877435194 0.85746728844173803 -7.5776267297503562e-17 0.51453848240413991 5000 4999.9865799225181 91.942128391210986 1197693 21.298122314468369 0 -7.326074875018657e-11 1.8068301657159083 -3.5851839007356641 1.3086448164069065e-18
2 -65.002219071833167 2.3209129150403746e-17 14664.004884768146 -65.451675489538687 1.4131448889005352e-18 14664.800893870683 0.0052848667453574945 -1.8848754527032835e-22 0.1387737601279769 -0.8707791430159223 9.2677806987454091e-17 -0.49167437055993851 5000 5000.0357656558681 90.253977576213543 1197771 63.833576984456435 0 9.9137209355601899e-11 0.3005024760946019 38.082608271792886 -1.3582362047155419e-18
3 -823.49492703966098 6.1703933231359901e-17 11318.862383042348 -823.98336390331724 4.3687887404715438e-17 11319.637571222675 -0.0042842497609346135 2.9845322024402778e-22 0.13880902900876987 -0.84605789231721285 9.3062430894123444e-17 -0.53309102672584885 5000 5000.0923301361054 94.16117774490877 1061749 64.497228527432014 5 5.6091156391766586e-11 3.4142639221256945 -30.864345003551154 2.1500994738978523e-18
4 -540.53700350832014 4.6983922989519676e-17 14663.997100906623 -540.17966304624213 -3.4766892135308366e-17 14664.965212605037 -0.0016733950841190883 1.7671814173543047e-22 0.13886365963083236 -0.93813304611924841 4.4496814247915589e-17 0.34627501767851832 5000 4999.9910169870809 92.11105286782491 1198065 67.657651558911766 0 8.2469251977863414e-11 1.8611869316598275 -12.050633611182308 1.2726017894475334e-18
5 176.36254161255047 1.8226479129044816e-18 14664.007278375952 176.87386412168618 -8.6520410264080924e-17 14664.92992318185 -0.0034200727059837126 1.4858449022911275e-23 0.13883210892354636 -0.87466305852450277 3.1952704676956529e-17 0.48473140198819353 5000 5000.0265709416144 89.31094264069155 1197703 65.402838512320628 0 -9.4028047952397638e-11 2.1227426913726029 -24.634594493317948 1.0702458630152837e-19
6 -559.53156449161543 4.4766475389666242e-17 14664.015147474502 -559.02053344919841 -4.3568284541323241e-17 14664.937957635289 -0.0034677563195410362 2.6461428701221455e-22 0.13883059480882035 -0.87481699517259737 3.1972126801931042e-17 0.48445353202075864 5000 5000.0023743191869 92.185162238752426 1198228 67.97013010550728 0 9.3962113523959764e-11 5.8890182371684716 -24.978329339555053 1.9060228574011899e-18
7 823.4949414063891 -9.060465415396011e-18 11929.46182744002 822.69945620894009 1.8028819628129561e-17 11929.810782546678 0.0047247714732874552 -1.6507257788142205e-22 0.13879277878549784 -0.4017175779929667 9.0186741728769445e-17 -0.91576360838273763 5000 4999.9496332241852 86.051116650905215 1086691 65.576802996432434 5 -6.4757627767814e-11 2.9498895654445199 34.041911363339146 -1.189345579257688e-18
8 284.59951394396143 -1.2836490025292348e-18 14664.013517249165 285.29131111447185 7.252367833586777e-18 14663.19062795747 -0.0020984112744159501 -1.8419805408255944e-23 0.13885818646739931 0.7654436011273823 -7.8195159587752978e-17 0.64350298661022365 5000 5000.0128683341036 88.888141772006122 1197735 66.934370699682717 0 -8.5572314695785389e-11 3.7792841722075927 -15.111901774034825 -1.3265192263317143e-19
9 557.87157563958272 -6.8839080025866279e-18 14663.998749765069 558.83184837977353 -1.0047431237590285e-16 14664.561050283161 0.0022434315644656124 -1.3859626786162261e-22 0.13885564259399913 -0.50530612593962432 -1.3745294627155404e-17 0.86294015951400471 5000 4999.9926607240805 87.821311895298919 1198045 67.913507455391766 0 -8.5549027161379013e-11 6.036462415390214 16.156574717134081 -9.9813205479063682e-19
10 823.49538819397105 8.2476811561248564e-17 3065.5054961636533 824.39648812438554 6.7457540390352525e-17 3064.858074215163 0.0058986462314774609 4.2152884039922301e-22 0.13875803002084894 0.58349126144514885 -7.7075743928457188e-17 0.81211941654652142 5000 5000.6930844011595 74.963461063558995 724727 38.452751810634879 5 -8.0983766069227728e-12 0.652571107775616 42.510305389829803 3.0378698828160551e-18
11 -823.49443133629711 1.2690284476698489e-16 11645.436660858017 -823.97564168076201 1.0817260905779278e-16 11646.21589079096 -0.0024925812030329357 3.9639061884914603e-22 0.13885096285311976 -0.85083643045651636 9.3014575326658866e-17 -0.52543065154422075 5000 4999.9611921019869 94.044875836736878 1074942 38.513132785632429 5 8.1554062896391866e-12 4.8365835474431176 -17.951486628649842 2.8547920065088679e-18
12 -791.18899979959963 5.7448460104292769e-17 14663.995016494426 -790.62540689201535 7.8083644533440224e-17 14663.103024725855 -0.0042837503199012047 2.8739153231829189e-22 0.1388072792315902 0.84539060698367152 -7.6450442293692273e-17 0.53414859396227854 5000 4999.9634119662314 93.088372491683089 1198441 66.511879098583435 0 7.5902179774293038e-11 0.52950638134493289 -30.86113598375535 2.0704355989774809e-18
13 823.49497109264723 -6.2242721040766724e-18 9084.0694432281671 822.97707726867634 7.2043032335876248e-17 9083.3176563327652 0.0054093322479662241 -1.6494682592443617e-22 0.13877841092046708 0.82350955382611857 -6.3515584486534886e-18 -0.56730240215306027 5000 5000.7255189736579 84.820143955890416 970495 64.481865626263428 5 -5.6105318650460317e-11 3.5573188001541238 38.978197055925897 -1.1885625785048513e-18
14 -73.998024453030311 -1.258785402909725e-17 14664.002288410167 -74.361945520387565 6.3160140282927256e-17 14663.140785188767 0.0057989923360031006 4.5873021368692417e-21 0.13875307763644426 0.9211823927705094 -2.3168534390731727e-17 -0.38913108275177838 5000 5000.0248610218496 90.28912560314096 1197288 27.704125747789451 0 8.6101901962479454e-11 2.6015514736387289 41.793612327630008 3.3060903693168684e-17
15 -686.76241710548686 1.0163844279179563e-16 14663.995528385572 -685.65192835155335 1.9061093156909783e-17 14664.231633112806 -0.0016543770670568946 3.31535152500456e-22 0.13886326599228987 -0.20796483036422653 -3.9317432773494942e-17 0.97813630527668571 5000 4999.9456074229774 92.681387710016196 1197462 46.749255164802939 0 -3.4840251667094787e-11 0.91973835752874056 -11.913712782390922 2.3874935544067058e-18
16 -768.68722973750403 2.6466777896345814e-16 14664.004403565204 -769.01676747136946 2.3039101766531255e-16 14664.883438558747 -0.0043254154956875934 1.6058146494833105e-21 0.13880586636629927 -0.93636432971136019 8.7339817107808915e-17 -0.35102968702128895 5000 4999.9545917487685 93.000698740494144 1197304 46.827380959171037 0 5.655662398322952e-11 0.085152073995859126 -31.161618805599435 1.1568780855743334e-17
17 -165.61387054532378 1.9249200615823718e-17 14664.015079979892 -165.59468883495731 7.9360865728544368e-17 14663.026576915037 0.0053751034316164223 3.6516013057844209e-22 0.1387696824379088 0.99981177999641679 -5.3465986711149403e-17 0.019401153395584122 5000 4999.9910916061808 90.647065100787657 1197462 21.854931822873542 0 -4.1870532657541776e-11 6.0800692720197125 38.733989565923103 2.6314114449446088e-18
18 823.49499595722477 1.3137701160778737e-16 12675.069506011499 823.04603926814059 1.0934033675841201e-16 12675.865709502836 0.0054714988608529271 5.2792932738385591e-22 0.13876538925383805 -0.87106447520858021 9.2675027444060855e-17 -0.49116868655210866 5000 4999.952696999394 86.282736891953562 1117075 21.155000648183364 5 7.3237808272490482e-11 2.5154960778621551 39.429852719572096 3.8044740855238447e-18
19 -823.49459102326023 7.079187744152022e-17 14533.748051014476 -822.44937265404292 -1.925022987090401e-17 14534.169470864745 -0.0026984753560262715 2.3595298722066926e-22 0.13884675407895883 -0.37393843908912611 -2.6037417570285322e-17 0.92745352573330786 5000 4999.9348955908317 93.242960364907219 1192882 61.876032463169537 5 4.0433624436663289e-11 3.1514481001427139 -19.434918546901812 1.6993770490773477e-18
20 -297.68438869190499 1.262533232492418e-17 14663.996743722808 -297.15004548788988 3.6336436210813596e-17 14663.085957927324 0.0011452216916560775 3.2070709096838898e-22 0.13886939701184448 0.86251848310101653 -7.546559426447106e-17 0.50602555981757458 5000 5000.0185718404928 91.162965119014146 1197585 21.437969279582191 0 -9.1913976121646748e-11 1.8236368727567907 8.246753541807335 2.3094151617943238e-18
21 -375.10753751672507 3.8116026214214845e-17 14663.995501846201 -374.29421186580828 3.3511483107668676e-17 14663.265142153648 -0.00073455838596729562 1.5537444366669554e-22 0.13887217386486514 0.66813877194134275 -7.8380664529744392e-17 0.7440366798455802 5000 5000.0183852737373 91.465316383497452 1197956 67.026097270314423 0 9.6590801728808743e-11 3.9094357146221168 -5.2894569554451252 1.1188306436240321e-18
22 -823.49460473088311 6.885112839766163e-17 8354.7962596390535 -823.82360157721484 3.4641183280116176e-17 8355.6755183642344 -0.0042684795555052593 3.3532914000077209e-22 0.13881807471727345 -0.93658289055226807 8.7316712520337864e-17 -0.35044613043806028 5000 5000.7175143850391 95.629204158936304 940596 59.405088084620161 5 3.4118488561815709e-11 1.5259986445284612 -30.748730409917741 2.4156014314686812e-18
23 823.49474205734896 -8.5927080481240447e-18 11448.184117251732 822.65245376200755 3.1333733917570827e-17 11448.372049215079 0.0042397640153999019 -1.511342686619685e-22 0.13880958220539077 -0.21776603591622717 8.2621105024040201e-17 -0.97600100120044231 5000 5000.0329755931407 85.885666607018123 1066949 64.832125772920079 5 -5.6119846719471943e-11 0.22303028486946364 30.54374163540453 -1.0887884414084713e-18
24 -734.08455883789645 -6.0969450728250604e-14 14664.001149605014 -733.17451397737182 -6.1034687162565137e-14 14665.194216575763 -0.018669353162278638 -1.5549062958664197e-18 0.54153714733184943 -0.79509701729827675 -1.089964052622776e-17 0.6064822609514936 5000 96993.51145353305 92.865852556930506 599849 0.56821128553485556 0 1.9420879851511244e-11 1.961603967740654 -34.474741491442352 -2.8712827984699375e-15
25 -546.44653856607704 7.8858261400615148e-17 14664.004406924169 -547.18515712335443 9.4599536599530014e-17 14664.480222333834 -0.00098546359839276503 2.7697958037869048e-22 0.1388697740450158 -0.54155398777894748 9.3718264558915502e-17 -0.84066597409879806 5000 4999.9565713531292 92.134110112029049 1197289 53.714836042627503 0 -1.903983281336878e-11 2.2928684935496952 -7.0963145520300106 1.9945274793124187e-18
26 823.49477796971848 6.4371794588295234e-18 5065.7729534538012 822.70113525090233 3.3152988896974005e-17 5066.1259400226345 0.0055995226968991365 -9.1541097420677892e-23 0.13877041117899735 -0.40638501622842998 9.0414531498326938e-17 -0.91370193050805082 5000 5000.6922295636487 80.766734438364651 806302 56.168389276430666 5 -2.7011042061558189e-11 3.2415929099432854 40.350984401685004 -6.5965861629249432e-19
27 -823.49457485082269 -7.7167379729977387e-16 5236.2227900904736 -824.35550567748737 -7.1782979376761813e-16 5236.2035089746223 -0.0063996060455219815 -5.8643435294390604e-21 0.13873582177335553 0.022390047284024276 6.8754373968916429e-17 -0.99974931184223326 5000 5000.6926313958093 98.937633130952989 812691 26.027019062516359 5 -2.0675058286699918e-11 0.65712231789570952 -46.128000423543369 -4.2269858314021379e-17
28 -823.49466462298039 6.484210351800932e-17 8025.4208392729879 -824.35574181543416 1.1821077001216459e-16 8025.410222662721 -0.0047719731242854219 3.455473140199551e-22 0.13880140550229314 0.012328516135455839 6.9333837161251217e-17 -0.99992400017701588 5000 5000.6975499046512 95.858659958099167 927204 61.237468510408284 5 4.0406276646878957e-11 0.47396054703396379 -34.379861695323996 2.4895087536721399e-18
