energy_eV,detected,total,pct,kernel_time_s,throughput_e_per_s
4991,26941,750000,3.5921333333333334,5352.5,140
4993,26984,750000,3.5978666666666665,6377.0,117
4995,26938,750000,3.5917333333333334,6483.3,115
4997,26511,750000,3.5348000000000002,6211.1,120
4999,26808,750000,3.5743999999999998,6471.3,115
5001,26936,750000,3.5914666666666668,5597.2,133
5003,26478,750000,3.5304000000000002,6861.9,109
5005,27385,750000,3.6513333333333335,5802.8,129
5007,26974,750000,3.5965333333333334,6135.2,122
5009,27107,750000,3.6142666666666665,6249.1,120
