# ELektron2 Java Simulation Results
# Date: 2026-03-13 19:53:16
# Integrator: DormandPrince853 (commons-math3)
# DP853 minStep: 1.0E-10  maxStep: 10.0  absTol: 1.0E-12  relTol: 1.0E-12
# Java: 25.0.2  OS: Windows 11 amd64
# Cores: 24
# Total time: 187696 ms
# Total simulations: 1000
# Detected: 33
# Detected ratio: 3.3%
# Detector: 100.0mm x 100.0mm at 1.0m
# startEnergy: 5000.0 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1.0E-12 m
# rangeMax: 1.0E-10 m
# spin: 1
# Z: 6.0
# atomCount: 30
# atomSpacing: 735.4478411741759 (reduced) = 1.42E-10 m
# chainHalfLength: 10663.993697025551 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm detected
#
0 -710.7118765780596 0.2562111258827799 14663.993697025551 -710.9893499868771 -0.7089371624241069 14663.993659583393 -0.004374447645458584 1.5566442156222307E-6 0.13880495148405594 -0.9517661862784396 0.2736207619251009 0.13882652950857732 5000.0 4999.999996726626 92.77475238540507 1025254 7206 442.95378847376577 5.043377576003415 -31.515069157753082 0.011214615897913678 1
1 -559.5435856238785 0.21383243445477929 14663.993697025551 -559.299143204642 1.1830842449611285 14663.993733794443 -4.0420850736265436E-4 1.5436776433727405E-7 0.13887327662165594 0.9602457759302255 -0.24217639146691664 0.13884756067234524 5000.0 4999.99999490075 92.18521233329497 1025008 7799 290.7717176383904 5.3580589655496 -2.91062843187515 0.0011115728532698989 1
2 -524.4591485234702 0.6367105251218791 14663.993697102578 -524.6663193529373 1.614836250811186 14663.99378793484 -1.1792207283104183E-4 1.4314061712076063E-7 0.1388738146820849 0.9688768990328483 0.2051990339773656 0.13845905866224092 5000.0 4999.999985907077 92.04831601419504 1026818 7485 -269.4193124083039 4.563321547516888 -0.8491310842219855 0.0010307243121998445 1
3 113.0216388239199 -0.2657972669863388 14663.993697112215 113.29879924752751 0.7017690801199652 14663.99372484705 0.006672522002145529 -1.5388261795965107E-5 0.1387134737069203 0.9520286676797101 -0.27271361760494145 0.1388117375813912 5000.0 5000.000055494921 89.55840579251829 1023906 7435 -443.5779237860186 4.989835772584436 48.10291187893914 -0.11093559540205934 1
4 -584.5180241031297 1.2458322621873426 14663.993697025553 -583.7962499863846 1.916268976496764 14663.992955624788 -0.02096296077616109 4.410262037292377E-5 0.13728256551212786 0.6742722893097315 -0.725752412772793 0.1365295380430557 5000.0 5000.000026195702 92.28264523209296 1026641 9136 140.46158448112251 1.8882937185744613 -152.6993664341826 0.3212543428832385 0
5 -339.46226381932325 0.6313271692310011 14663.99369709672 -340.0377565522256 1.4481110673694184 14663.994256684879 -8.782863773212067E-4 1.6294848137567281E-6 0.13887108793860709 0.8096814806009024 0.5703938826371941 0.13808228863008842 5000.0 5000.000024020808 91.32612453379795 1025658 9251 -516.2388049146581 0.939320564116373 -6.324472504381074 0.011733794542439963 1
6 -10.865127894819256 0.01000392316488909 14663.993697025551 -10.431126108235349 0.9120737852602244 14663.993759811323 0.0011260573427789222 -1.1947719539870473E-6 0.13886930088470464 0.8923776931041616 -0.42934838733813385 0.13900365299482317 5000.0 5000.000097656509 90.04245268179903 1024229 9398 -513.7728715627627 6.245814899631018 8.108756475369773 -0.008603571461622026 1
7 177.24834814156415 -0.2139535548449626 14663.993697025551 177.6649906912036 -1.1272357427149773 14663.993876800885 -0.004239975462394638 5.193300976286723E-6 0.13880912417740687 -0.9010493530408651 -0.4110346395927595 0.13842177770332006 5000.0 5000.0000026914695 89.30748144472085 1025143 9459 395.70983803751966 1.7418459202604837 -30.5453657136809 0.03741325368244061 1
8 -187.39494539992725 0.4004961229946011 14663.993697025551 -188.39249267997715 0.3348721217928518 14663.993119053763 0.004045491264125132 -8.71688505029683E-6 0.1388149299361865 -0.06508788515788354 0.9881750890699039 0.13882924879795286 5000.0 5000.000127638219 90.73215764214714 1025797 9420 360.1220482074524 4.389875586352995 29.14305590893467 -0.06279501098551864 1
9 -245.27150989291226 0.11849186450711342 14663.993697025553 -244.5649432350333 -0.6029650405175533 14663.993720050867 -0.01381448673387774 6.084942976842997E-6 0.13818505804455392 -0.7075860954070319 -0.6929777186806374 0.138216493538012 5000.0 4999.999995781351 90.95824591571002 1025363 10198 -266.09497273732114 0.9151877553233589 -99.97091530275034 0.04403473908793436 0
10 408.91059977712393 -0.24909137611101898 14663.993697025551 409.4793229077567 -1.0738119990088697 14663.99386167804 -0.002200551708294311 1.347464612223392E-6 0.13885642773977197 -0.8152922644250535 -0.5621936922702879 0.1386967054305987 5000.0 4999.999892331073 88.40270105271071 1025739 9157 -42.643851819761814 5.521636115467806 -15.84767622294245 0.00970401323263658 1
11 -298.14496720994475 1.1604701916058324 14663.993697025551 -298.3890616156059 0.17883360404354776 14663.993851564313 -0.011728091400784594 4.529195892341792E-5 0.13837774840929268 -0.9610385284310838 0.23899434178569706 0.1388763887530988 5000.0 5000.000281628779 91.16476421007596 1024585 9581 -461.4503568164155 6.00012956975748 -84.75417135777735 0.3273066619746818 0
12 -638.7141277570266 1.3554083677057605 14663.993697025551 -639.3064094839655 0.5480198128347167 14663.993434270122 -0.001684496652726265 3.571237072884358E-6 0.13886364965823422 -0.7985493789096808 0.5857524008906317 0.13861101748427818 5000.0 5000.000098539946 92.49403457695121 1021662 9890 271.36351939805377 5.624749751664973 -12.130580298530841 0.02571758038675886 1
13 -543.6584840506265 0.20795003758440186 14663.993697025553 -543.2276807713066 1.1101751651446627 14663.993728097714 -2.1355673135604414E-4 8.174299550334712E-8 0.13887370067098817 0.8936628745181202 -0.42671967248066334 0.13884159302357513 5000.0 4999.999994996174 92.12323309364545 1024980 9307 290.7779244118857 2.215554005943753 -1.537776629586554 5.88613935600435E-4 1
14 -255.37453601123391 0.09625794802470221 14663.993697025551 -256.1083901400155 -0.5802067510863858 14663.99366475243 0.002813051089950999 -1.0838781100491109E-6 0.13884537122808868 -0.6712077979242677 0.7281446207663098 0.13887225505980036 5000.0 5000.000001450959 90.99770938740727 1024529 9020 427.3448655067797 1.2696837166827832 20.260315954860676 -0.007806368339557871 1
15 -466.6085582505973 0.8760484842409662 14663.993697126063 -466.42737193533316 1.857498818191909 14663.993518281619 -0.0018393197670192587 3.4458864982134064E-6 0.13886168384358433 0.9739935260928614 -0.179784580768396 0.13789168169539634 5000.0 4999.999996157827 91.8225378446813 1026233 8955 -476.0356793829491 5.917549717751124 -13.245696840973736 0.024815243505868036 1
16 -791.2820866651685 0.604057630070878 14663.993697125548 -792.1508316338127 1.0840904812591732 14663.993791758265 -0.014805338007395816 1.1092462429264118E-5 0.13808241063593013 0.4790196990768018 0.8668841942467235 0.13802869762023132 5000.0 4999.9999789608755 93.0887354261221 1026620 10022 -411.0290857598891 2.0833901485417483 -107.22102792970324 0.08033218987254392 0
17 435.02316262521634 -0.6926167562184553 14663.993697025551 434.1074889250532 -0.29243457783509463 14663.993104100507 -0.0018081316634860113 2.8824030377302835E-6 0.13886209042515082 0.39649306488791125 0.907438578643091 0.13909879632022343 5000.0 4999.999774310101 88.30075737761446 1027743 10011 57.9212555720087 2.5968565581497187 -13.021060376882536 0.020757306972013004 1
18 -628.0609131923311 1.4031659405433532 14663.993697025553 -629.0333078921032 1.6291863032226355 14663.993744129075 -0.0071955714654253706 1.6013469965132305E-5 0.13868732366200734 0.22421778422418914 0.9646106507448821 0.1387540176434131 5000.0 4999.999970040047 92.45248739922857 1024636 9457 515.8126174087262 1.874203676643793 -51.88341137046947 0.11546455394985108 0
19 144.352549788773 -0.05378165983551787 14663.993697107182 144.94282727424908 -0.8653243256759103 14663.993722137366 -0.004305086566845593 1.7016605960130042E-6 0.13880712015544605 -0.8008746508712814 -0.5825137972627404 0.13884332731282467 5000.0 5000.000004086066 89.43599779896547 1024429 9287 -472.96178308010974 6.1616599193915595 -31.014882824630693 0.012259173694457202 1
20 580.7486190760515 -0.9262346875091185 14663.993697025551 580.1378244877967 -1.7180937683061468 14663.99332000113 -1.60121149836663E-4 2.5421117500676665E-7 0.1388737694834544 -0.7842316577518542 0.6048453564799398 0.13835751384332517 5000.0 4999.999770029188 87.73205953368699 1027241 8973 57.935896410789674 2.9711542755688947 -1.1529977938399667 0.0018305197299123771 1
21 465.7959489639155 -0.8735151779273184 14663.993697025553 465.95846372202413 -1.8589712230661462 14663.993859542383 0.0011002693524431297 -2.0598389665520193E-6 0.13886950614490445 -0.9772501360479672 -0.16113875299008634 0.137900231194754 5000.0 4999.9999921763465 88.18063401089648 1026373 9118 446.58045534839806 5.984194661944841 7.92304504413694 -0.01483291057723403 1
22 -605.8577374549429 0.23679723338030198 14663.993697025553 -606.606741553645 -0.42641514948103415 14663.993688875904 -6.305000621402105E-4 2.461056703793878E-7 0.13887243355461606 -0.6565008677720189 0.7414226897764332 0.13892086159381398 5000.0 4999.999991636935 92.36588751783673 1025148 9724 239.01107618855198 3.233657474111159 -4.540138355768397 0.001772170790703389 1
