# ELektron2 C++ Simulation Results
# Date: 2026-03-11 15:40:32
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 1587502 ms
# Total simulations: 10000
# Detected: 355
# Detected ratio: 3.5499999999999998%
# Detector: 1 m, 100 mm x 100 mm aperture
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm
#
0 166.36443063169082 -3.8608341487736697e-17 14664.015854090083 166.62212998638722 6.1366716666492612e-18 14663.037923943722 -0.0052781640601349102 9.6833237983582609e-22 0.1387735253839516 0.9669894735349106 -6.6656187418408921e-17 0.25481632172377938 5000 4999.9999999410829 89.350002693235538 1197132 5296 180.28825147267341 6.0762802284658255 -38.034373238926889 6.9777890066328788e-18
1 -384.37226972282019 -2.3813773752666308e-16 14664.000799548219 -384.32454689585126 -1.7985094687010466e-16 14663.014141171876 0.00047679081674054298 8.0660642377607919e-22 0.13887304644170193 0.9988323086719838 -5.5410164767270445e-17 0.04831165941929641 5000 4999.9999984011392 91.501491131756083 1197383 5653 413.89141619990357 0.32029900009365636 3.4332855003702747 5.8082287704020938e-18
2 -484.49600339018673 4.1811637311085873e-17 14664.011494639206 -483.46969290152759 7.021523816670696e-18 14663.558113851297 -0.0026958650759160091 2.4003465160852761e-22 0.13884769594497226 0.40408536984492338 -7.287686169227558e-17 0.91472127596227848 5000 4999.9999984676297 91.892352700296897 1198120 5659 500.26019928268681 0.88105248390840762 -19.4159871186082 1.7287622237797701e-18
3 -118.22800968086419 2.6113896499955655e-17 14663.994469162717 -118.0264567049846 7.5261012001077763e-17 14663.001684724097 0.0043783648108040793 -1.3748674716695978e-22 0.13880482801172753 0.98000779623674095 -6.3445993188026172e-17 0.19895908901008744 5000 4999.9999984798833 90.461935471807379 1197765 5792 500.44928701310766 2.2940764660983639 31.543317862359615 -9.9050407061736801e-19
4 759.8300522810315 -1.5561894700481356e-16 14664.010081981756 758.97372275933787 -9.6857620820484818e-17 14663.907003385515 0.0059243570482323173 -1.4878500756247568e-21 0.13874744090228644 0.11950987374023375 6.326042921666599e-17 -0.99283301200806195 5000 4999.9999999495931 87.033815771836245 1198150 5697 445.06037281810376 0.042662209497261551 42.698856351552998 -1.0723441570879729e-17
5 2.2234867595118044 1.8973616523271271e-17 14663.999111403544 3.356235183173633 -5.6556418165477444e-17 14664.099042378368 0.0068454905959934413 -3.0378839391801431e-22 0.13870504538838008 -0.087878613350170567 -4.7332116678762238e-17 0.99613119121258631 5000 4999.9999984563965 89.991312301291146 1197870 5703 513.54723297926671 5.9879283737074829 49.352859348596688 -2.1901755128473792e-18
6 1174.5975728394101 3.1658037334973946e-16 14664.002499827173 1173.8092262237901 3.8814013408827259e-16 14663.625940968688 0.0061657344866115921 1.3948152002050801e-21 0.13873692402687188 0.43101158802234502 3.8753965250072681e-17 -0.90234639204845146 5000 5000.0000017461944 85.420343044253315 1198069 5648 -100.64451729533228 2.0553132030469814 44.441914291089184 1.0053669634011195e-17
7 -354.35810445720307 3.6989474084539048e-17 14664.007080445477 -353.2676358450899 -1.0987733311619845e-17 14663.703602781634 -0.00078766548239916966 1.6645632242644649e-22 0.13887163115941675 0.26811110090360257 -6.7466106884631918e-17 0.96338799981586776 5000 4999.999998481926 91.384292372319194 1197943 5127 513.38205330011681 1.2342368895787303 -5.6718962384403362 1.1986344585768137e-18
8 -256.87173745338765 3.3454212685234832e-17 14664.011692797916 -256.34265879414039 5.7647757858666218e-17 14663.09764982999 0.0021266399100321651 -1.2487220436567973e-23 0.13885758085350594 0.86546902677751159 -7.5262197609971993e-17 0.50096243589994638 5000 4999.9999984834012 91.003556301132463 1197803 5775 472.8521365866651 2.4955369003354004 15.31525968521488 -8.9928258578420201e-20
9 -960.18207942483309 5.2971522630307426e-17 14663.995886006816 -959.2364555051081 3.090175971133352e-17 14663.417349143478 -0.0058071826691293189 3.4475872386944844e-22 0.13875239457025138 0.5218805187189236 -7.6465880680179997e-17 0.85301859417311865 5000 5000.0000015708911 93.746315694314276 1198137 5682 -44.142017508465294 5.0615142202947441 -41.85284648323023 2.4847046779786891e-18
10 806.90602704974424 -1.1318096075924604e-17 14664.009269122935 807.42722773484172 1.3662167229920592e-17 14663.090430995584 0.0035884254123576056 -1.4866553315305534e-22 0.13882749573545713 0.86980862789471258 -7.4980720317766577e-17 0.49338924987878802 5000 5000.0000014623056 86.850402137662087 1198262 5627 -335.47227119100233 1.4122060946438983 25.84808861780186 -1.0708651939983495e-18
