# ELektron2 C++ Simulation Results
# Date: 2026-03-09 11:27:07
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 362891 ms
# Total simulations: 2400
# Detected: 95
# Detector: 1 m, 100 mm x 100 mm aperture
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm
#
0 -690.01569588451389 9.9295326218303147e-17 14664.014347217511 -690.65703215863391 9.9873576561261876e-17 14664.63997965851 -0.0067097378436695018 9.5297058687629432e-22 0.13871167860526712 -0.69828869151938511 9.5161925819252327e-17 -0.71581624889340834 5000 4999.999999963663 92.694067654117589 1198175 4470 -488.717266792901 5.5234055717214883 -48.371830772544058 6.8701539514071481e-18
1 736.60452687414647 3.4054174388209411e-16 14663.996873967964 735.82701683087487 4.1274577739117464e-16 14663.599109544539 0.0015193417909608962 4.1276325140217636e-22 0.13886555358972111 0.45544729770946946 3.6111476455014653e-17 -0.89026274832301644 5000 5000.0000025511135 87.124325182202654 1197605 4522 -55.60070987365679 0.5339408926655923 10.941099154436802 2.9723948144958054e-18
2 290.4130585861725 -1.044388588742968e-18 14664.011983130506 290.2572607235295 -5.0217117077114312e-17 14664.96159041614 -0.0033895848142212501 3.1526412485690317e-23 0.13883249289800187 -0.98680699808214201 7.8794789786183967e-17 -0.16190105408978706 5000 5000.0000015590913 88.86543548395511 1197642 4424 -239.19289181813787 3.2083600880546301 -24.414924370129452 2.2708237695373153e-19
3 631.94391173340887 4.8490777896381628e-17 14663.998540812328 633.03235747880058 1.1242840804963297e-18 14663.687726429305 0.0002688841356523168 -8.8292357395380624e-23 0.13887360468196616 0.27458218261986872 -6.7712263968393079e-17 0.96156363502580378 5000 5000.0000032835287 87.532369550236211 1197957 4867 -42.618097502137658 1.9628303646927932 1.9361788459951565 -6.3577493791983417e-19
4 -470.65720922824681 8.409701429700893e-17 14663.99951474706 -469.73277905168845 6.5445791505655449e-17 14663.386882180936 -0.00014549577253609796 1.9537598797588434e-22 0.13887378872375319 0.55241692688221478 -7.6830534937281057e-17 0.83356795637338932 5000 4999.9999999866959 91.838340037152875 1197448 4490 -358.59822710417387 0.70059835803030901 -1.04768346765218 1.4068600689257851e-18
5 -1438.4440669919734 2.0069682009125091e-16 14664.013980184453 -1439.0849360853217 2.012475321895424e-16 14664.640076444672 -0.0065906611249037317 8.8823859111210991e-22 0.13871738728684202 -0.69881440388494265 9.5145318603389222e-17 -0.71530303317775967 5000 4999.9999963672826 95.602418469081414 1199341 4393 41.567541565669622 1.3788473410491189 -47.511427758334705 6.403224631641858e-18
6 -466.7325087731594 -2.212671916876347e-18 14664.005172993157 -467.5431028664957 2.7981414643650678e-17 14664.319020523726 -0.0033605166817989606 9.2841644992458804e-23 0.13883319952805145 -0.36106331032365085 8.8194855453374643e-17 -0.9325413054523235 5000 5000.0000000012196 91.823020233721536 1197896 4800 -516.3258899719799 1.7593550098943576 -24.205425598651303 6.6872797938867651e-19
7 104.65157839688635 5.5548854156467919e-18 14664.00929779664 103.8946704934108 7.8745702042723903e-17 14663.57461824253 -0.0066140166103864301 -2.6054260424666109e-24 0.1387162757399362 0.49800396237795225 3.1270779111248882e-17 -0.86717475313507297 5000 5000.0000019258096 89.591108281080011 1197705 4613 -97.514044220869366 2.7997063271370255 -47.680177218615057 -1.8782410561189199e-20
8 -582.63838704124214 4.7819372600251878e-17 14664.008454647683 -581.70486443916911 2.7668854345807026e-17 14663.410181492851 -0.0025946206740020831 2.2064946851429853e-22 0.13884962477878179 0.53957740785536168 -7.6664793852443138e-17 0.84193599721477741 5000 4999.9999984453898 92.275310360010678 1198154 4753 442.96099256370729 0.50031335772386842 -18.686551570707437 1.5891254215907462e-18
9 519.3902174750084 -5.3284594189368833e-18 14664.003435777351 520.47358512544554 -5.1320517718849349e-17 14663.67499192652 0.0028193863596024512 -1.6117707899786517e-22 0.13884524273422999 0.29012925411549118 -6.8233373669422195e-17 0.956987469152762 5000 5000.0000015290225 87.971465816444478 1198072 4262 -486.87679567316815 5.3890948891995727 20.305962984984422 -1.1608397653665496e-18
10 -270.01267816360405 -3.4784965141037694e-17 14664.00762511533 -269.80273175458723 1.3875078707691439e-17 14663.016850098822 0.0029382893512266963 1.2520110889964991e-21 0.13884277735897929 0.97827779445886809 -6.3894162821811052e-17 0.20729823333669861 5000 5000.0000014486895 91.054884803246253 1196310 4536 -47.305149950566054 6.2806887430534903 21.162709412170013 9.0174736692238065e-18
11 -753.6082002613856 1.0568328560516683e-16 14663.994784355113 -752.51368778473238 5.6527204987186916e-17 14663.706607755817 -0.0029967923482171733 4.7188197278360021e-22 0.13884152692564725 0.25461476648136844 -6.7007492960287801e-17 0.96704256434351632 5000 4999.9999999641168 92.941941599864904 1197529 4632 -211.52318510815599 3.3026027643895506 -21.584265274048899 3.3987091847261485e-18
12 -368.6066744629054 7.3763265746724084e-18 14664.004919705761 -368.57802465263893 -5.5356656643361527e-17 14664.989707660621 -0.00051985326895326463 2.4976594779973628e-22 0.13887289194146668 -0.99957708665406642 6.7949385410223608e-17 0.029080062445840577 5000 5000.0000000124528 91.439931337541125 1197670 5416 -489.99218649134929 0.99257974993633302 -3.7433746909539174 1.7985219743606244e-18
13 -1327.4506014968802 -1.939525642407668e-16 14664.020396175809 -1326.3505892518706 -2.4482287916834854e-16 14663.754373563854 -0.0060511095171131395 -8.7231704182848707e-22 0.13874197072222527 0.23506000706115149 -6.6290988814536743e-17 0.97198085964474656 5000 5000.0000007142326 95.172563594804345 1198880 5334 -58.159775125016495 3.2788660373252925 -43.614124014628857 -6.2873335104555303e-18
14 322.68279168554818 -2.0618617330692955e-17 14664.004011873225 323.80616031549164 -7.8119162451622862e-17 14663.8236792813 0.006729552426373432 -1.2673837126862587e-21 0.13871071872186647 0.15849919859375586 -6.1989753808057493e-17 0.9873591057984652 5000 5000.0000001673316 88.739404410542946 1196764 5571 376.69235136663116 3.4497895246954058 48.51501375223269 -9.1368837560962579e-18
