# ELektron2 Java Simulation Results
# Date: 2026-03-09 10:30:40
# Integrator: DormandPrince853 (commons-math3)
# DP853 minStep: 1.0E-10  maxStep: 10.0  absTol: 1.0E-12  relTol: 1.0E-12
# Java: 25.0.2  OS: Windows 11 amd64
# Cores: 24
# Total time: 40134 ms
# Total simulations: 24
# startEnergy: 5000.0 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1.0E-12 m
# rangeMax: 1.0E-10 m
# spin: 1
# Z: 6.0
# atomCount: 30
# atomSpacing: 735.4478411741759 (reduced) = 1.42E-10 m
# chainHalfLength: 10663.993697025551 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0
#
0 -2744.9813790303742 7.894658546574705E-12 -2190.325897672806 -2742.5486271512705 7.892335947058396E-12 -2188.905322321427 -0.24902003804541345 7.162932990935517E-16 0.5686063889375118 -0.5042603229072152 8.179763296278075E-16 0.8635516930398668 5000.0 140775.21909886887 218.58770886176416 302892 8926 -156.127789508217 0.009982147905539246
1 2744.9813790303742 -1.1607559995013601E-15 -7078.015861149354 2744.8293237495113 -1.2066498551826093E-15 -7077.147437863416 0.09662602342983362 -4.1441965270849204E-20 0.09974649187020071 -0.9850148229062414 8.274203156005298E-17 -0.17246970196947642 5000.0 5000.0001790781635 291.19718512453665 355530 8959 -74.53623468535504 5.549751570250793
2 2744.981379030375 -1.1448100924686328E-14 -6891.995054606639 2744.036876806028 -1.1393329803189396E-14 -6892.006190289048 0.1330369868766932 -5.561723155468234E-19 0.039838563831833054 0.011789181404131086 7.448478994590251E-17 -0.9999305049080759 5000.0 5000.000179377484 291.7166730260584 400103 14071 -192.6417994346737 4.515459997050393
3 -2744.9813791179567 -8.098018975246113E-15 -5779.16429550364 -2745.3853470773115 -8.136114785708939E-15 -5778.155631488811 -0.12723096777596124 -3.7523895704440843E-19 0.05568637196452664 -0.9283171792740855 7.478107435608189E-17 -0.3717892091822899 5000.0 5000.72103902156 244.59326602856012 435367 17171 -220.5936549417352 1.2800161307609785
4 -2744.9813790303747 4.93727179938619E-16 -3821.98040978191 -2744.4886536284394 4.028184914857696E-16 -3820.9855351392516 -0.07106620743905817 1.2463855257261912E-20 0.11931280397957364 -0.8961184225679208 3.0944385237260496E-17 0.44381502059070244 5000.0 5000.000176175054 234.31374587364996 474224 18472 -49.67448563105995 0.11769359133419471
5 2744.981379317646 -4.570216650838509E-13 1730.7684283825683 2746.6762034499366 -4.565310666813758E-13 1731.6198840030663 0.37804090035425975 -6.304226186360825E-17 0.6941244885337416 -0.44891830876185135 -5.207341545973115E-16 0.8935728011920255 5000.0 323152.2916325157 32.23229259614738 484448 19412 343.33531711393834 3.653532420851567
6 2744.9813790303742 6.0514369786021E-16 2345.583190011831 2745.095967830167 6.629843735562241E-16 2344.549982270372 0.04226657130041959 8.992117092228387E-21 0.13228563028998216 0.9939061036445666 -5.661274909418056E-17 0.11023001809929756 5000.0 5000.000175509923 40.51384776742129 711802 20753 246.75456137234647 5.271088282080964
7 2744.9813790303742 -2.771684508574467E-16 3559.041051270213 2744.566271235737 -1.976335228377743E-16 3558.174905655865 0.04032797834759549 -4.3181715884430546E-21 0.1328894472828548 0.9017836951008384 -1.7353112224315625E-17 -0.4321876544645064 5000.0 5000.00017709775 52.35807779985196 760088 21569 -216.16424412497028 5.441911932971516
8 -2744.9813790303747 -1.427513635360563E-14 -5467.490711603444 -2745.8541179967524 -1.4256127311145056E-14 -5466.967300518653 -0.13407990178727364 -6.967132981929109E-19 0.038035629876825135 -0.5143279043546041 7.872467101774475E-17 -0.8575936136310086 5000.0 5036.355050040537 243.34082924968158 459075 24533 -249.11557873398735 5.274325101307013
9 -2744.9813790303742 3.702555464904504E-16 3169.821942940755 -2745.816104501666 4.3439637777180136E-16 3169.610349666514 -0.03394453072196494 4.439089406269338E-21 0.13466150105039076 0.24571691756255323 5.0701547314115215E-17 -0.9693416298334946 5000.0 5000.000175606595 130.89169088031443 741703 27804 -146.2121455795233 1.5499605476678342
